10	0	玩不起的、要饭的、捡破烂的、穷庄	吸血鬼一号	02-21
43	0	2017年2月21日   星期二 A股前瞻  昨日行情，大	zhengquanyihao	02-21
41	0	双汇发展(000895)融资融券信息(02-20)	双汇发展资讯	02-21
31	0	承德露露(000848)融资融券信息(02-20)	承德露露资讯	02-21
48	0	汤臣倍健(300146)融资融券信息(02-20)	汤臣倍健资讯	02-21
78	0	奥瑞金(002701)融资融券信息(02-20)	奥瑞金资讯	02-21
67	0	贝因美(002570)融资融券信息(02-20)	贝因美资讯	02-21
62	0	洽洽食品(002557)融资融券信息(02-20)	洽洽食品资讯	02-21
93	0	没什么信息的时候就是要涨的时候，反之是套人的	特狼仆	02-21
94	0	犇子含着吃，涨爆了。	caotm	02-21
128	0	踏空的，割肉的，不看好的，可以走了，涨不涨不	缺一辆买菜车	02-21
139	0	还有不少不死心的啊股神砸这么久你们爽不爽？	王强三元一战...	02-21
191	0	垃圾股，暴跌就在眼前，2016业绩大变脸，这就是	任我行asdf	02-21
1066	1	中粮集团：到明年争取旗下专业化公司全部混改 	烦人老涨停	02-21
194	0	鬼弄金融这个SB自己顶老贴不累?	江西南昌手机网友	02-21
546	0	伊利股份(600887)融资融券信息(02-20)	伊利股份资讯	02-21
446	0	梅花生物(600873)融资融券信息(02-20)	梅花生物资讯	02-21
501	0	中粮糖业(600737)融资融券信息(02-20)	中粮糖业资讯	02-21
306	0	光明乳业(600597)融资融券信息(02-20)	光明乳业资讯	02-21
312	0	维维股份(600300)融资融券信息(02-20)	维维股份资讯	02-21
348	0	安琪酵母(600298)融资融券信息(02-20)	安琪酵母资讯	02-21
389	1	东方股神再出来装个好逼，给爷欣赏下你的装逼打	左牛右兔	02-21
383	0	莲花健康(600186)融资融券信息(02-20)	莲花健康资讯	02-21
387	0	上海梅林(600073)融资融券信息(02-20)	上海梅林资讯	02-21
422	1	穿越	同视	02-21
219	0	呵呵	中国网犮	02-21
469	0	双汇发展后期趋势越来明显，能否强势逆袭转败为	R601989	02-21
508	0	今明两天看看我已经调仓的黑马秦川机床是怎样快	劝你别炒股	02-21
437	0	现在走，可惜了。	特狼仆	02-21
588	0	涪陵榨菜走势良好	采月月上月	02-21
755	0	反正卖了才涨，是回家种田的料	游20	02-21
1296	1	顺天者昌，逆天者亡。	竳闻革	02-21
580	0	定增价都没保住，差评[不赞]	蚂蚁上树A	02-21
1302	2	从买入你的那天开始就没好过，难道我可以当做反	小小紫檀	02-20
2729	0	中粮集团20日表示，2017年将从“整合、品牌、混	Famemonster	02-20
579	0	看看600687刚泰控股停牌半年后的走势，看看	凯文1983	02-20
441	0	明天涨5个点左右[大笑][大笑][大笑]	简单我幸福	02-20
992	1	中基的确不怎的，割肉or坚持？！	腾龙1703	02-20
514	0	6.59买了十万股，明天开盘就卖	九七年新疆兵	02-20
2061	5	朋友说  印记尾盘是被国家队砸下来的  笛声以为	笛声6	02-20
460	0	凡是叫嚣涨停的都是空仓的，目的主力打压建仓。	等待建仓	02-20
1800	2	已经满仓了，该好好飚几天了	一只病猫	02-20
533	1	哎呦喂，嘻嘻把钱揣进俺的兜兜儿里 嘻嘻 洽洽真	霸气的犇子	02-20
389	0	哎呦喂 新来的红眼狗仔细看看犇子的操作截图哦 	霸气的犇子	02-20
2428	3	将为中国的医药卫生事业发展起到积极的推动作用	中国慈溪	02-20
821	6	哎呦喂 犇子小户四万四千股洽洽竟然解套挣钱了	霸气的犇子	02-20
664	3	涨上来就清仓，看到就厌。	非常繁华	02-20
410	0	大仙们都说海欣不行了，那帮我看看它的亲戚太平	我很傻可是我...	02-20
1214	0	2017年上海本地股国企改革的最大牛股花落谁家？	天马飞舞动	02-20
987	0	广弘控股 湖南国企混改已经出台 下一个广东国资	炫幻魔方	02-20
3483	9	味精提示	许想想	02-20
592	0	2017年上海本地股国企改革的最大牛股花落谁家？	天马飞舞动	02-20
1394	4	一季报出来该股将至少会有两个板漲停。直接打到	雨雨真	02-20
1076	4	大家都在看跌?	聚宝盆66074	02-20
380	0	固有的节奏	独自用餐	02-20
551	0	看看高乐，都是普宁的！林老板你减持吃肉，也不	花木兰70后	02-20
390	0	马来相见	lonfen1108	02-20
547	0	国企改革，关注	逗你玩几天	02-20
697	0	无论是什么人，也无论是什么公司，只要与足球沾	高台微尘	02-20
377	0	又是尾盘拉，明天低开下跌	HX457AV	02-20
2408	7	梅花回调遇20天线支撑今日从新站上5和10日均线	重庆闪户	02-20
752	0	都别着急，等几天看集中度。	要戒贪戒惧	02-20
2082	1	糖业今天没上车的，明天等高开回落上。	股友pzavLg	02-20
1362	1	快跑，这只是下跌中继	果金恒拜	02-20
354	0	明天跌停[鼓掌][鼓掌][鼓掌]	sky is a dream	02-20
563	0	再横五年，估计梅花董事长已飞天去	m大象	02-20
1658	0	公司管理层及大股东明知上次收购失败却把公司改	剑君十二	02-20
629	0	强势涨停机构游资敢死队疯狂抢筹高送转次新大黑	天生冷血	02-20
1228	0	这是一只买过之后就忍住不再看的股票	地产老大	02-20
498	0	好股	J勇士之绝不将就	02-20
1931	0	2017年市场最热门的题材是上海本地股－－－上海	壮志凌云V	02-20
2520	2	哎，我一卖，就涨，我又给买回来了。比卖的时候	股友67VnjX	02-20
2115	0	2017年上海本地股国企改革的最大牛股花落谁家？	壮志凌云V	02-20
2334	7	味精：等待四叉共振	许想想	02-20
1960	2	昨天卖百联入梅林 我今个儿狠狠的抽了自己一个	竹篱茅舍近水...	02-20
409	0	股市整个就一孙子兵法，高手玩的。	是山是水	02-20
496	0	布局不会呵呵呵，你这个是嫉妒，你就嫉妒我吧！	不知不觉灬必胜	02-20
1210	2	狗庄，反正我不看好你的股价，快点停牌，让大盘	m大象	02-20
3689	3	明天收盘价	鑫特鑫t4uel8	02-20
2408	3	今天换股了，下周我再回来[胜利]	呆在中街	02-20
3499	4	如果阿里健康与中基健康战略合作会怎么样？？？	剑君十二	02-20
459	0	很弱的股，量又小，前面已经有一波	深入浅出其乐...	02-20
402	0	我发的哪去了	小红鱼s	02-20
12771	10	今日重大利好！中粮集团18家公司全面实行混改，	股友pzavLg	02-20
2058	2	本周估计出公告	剑君十二	02-20
1356	1	主力明天来个长阳看看？	潜伏者集进	02-20
451	0	老黄，散户引进的怎么样了？据我观察，又有6千	流水散兵	02-20
2322	1	9元以下买入的机会不多了！[抄底]	马赛克V	02-20
527	0	准备天天集合竞价跌停扫货垃圾股票	财商股道	02-20
10502	6	中粮集团：到2018年争取18家专业化公司全部混改	浙江向天	02-20
2453	2	投资人付账6.5亿现金摇身变股东债股东	财商股道	02-20
508	0	主力拉高出货，哼，我偏不买	徐汇一狼	02-20
1764	4	明天涨停？	空仓快乐姐	02-20
1081	5	犇子为啥管理员没有封他	控盘者	02-20
743	1	下降通道，还有最后一跌。坚持吧，说给你们，也	AAA小幸运	02-20
1871	4	回来看看，劝大家别碰这个垃圾股，浪费行情，不	股友vzQz1W	02-20
565	1	这个叼毛快退市了吗	专打耗子	02-20
