86354	412	市场人气低迷沪指中阴线杀跌 行业板块几乎全线	财经评论	03-09
53808	68	肖亚庆：国资上市一定要对资本市场产生好的影响	财经评论	03-09
68562	241	创业板再融资政策收紧 消息最快将于明后两天公	财经评论	03-09
20949	40	我国2月份新增人民币贷款1.17万亿元 M2同比增11	财经评论	03-09
1126	46	吴晓灵：四个方面内容将在证券法修订案二审稿中	财经评论	03-09
415402081	4486	1分钟开户，送1年Level-2极速行情！报名实盘大	东方财富网	06-15
2536	18	(3/9)十大名博看后市：护盘资金又入市了吗？	财经评论	03-09
8595	44	机构论市：中阴线杀跌幕后推手曝光 多头打响关	财经评论	03-09
66481	197	李大霄：总体经济回稳迹象愈发明显 对股市支持	财经评论	03-09
1067	1	市场结束反弹 风险继续释放	大盘分析	03-09
3149	3	一类股将在巨震中脱颖而出	天才土豆饼	03-09
28358951	26345	  收益为正就能分到钱！大赛选手三天分到60万	东方财富网	03-08
1	0	大家最近都应该清仓甚至空仓，下周二三后才是入	梦回归线	03-09
10	0	上证指数本波调整有望在3170～3180一带结束！ 1	领君2017	03-09
29	0	2017-03-09下周预报。大盘运行于慢牛2+3区域，	小程少帅	03-09
24	0	明天破3200	落叶51152	03-09
92	0	发股票为了： 1.融资后，首先是还清银行贷款，	股友eesSI8	03-09
78	1	美股泡沫巨大	股友jH6KKT	03-09
147	0	股市每日的涨跌是大资金运作的结果，是众多不同	股友bUGNHE	03-09
82	0	美丽生态000010：业绩大增 PPP资产证券化热点龙	私募内幕投资	03-09
107	0	供给增加，崩盘是必然[胜利]	广东广州手机网友	03-09
136	0	这几件大事将影响你投资的方向	ghszrt	03-09
401	2	我准备在新疆建个公共厕所，这样就有了一路一带	超越梦想9858	03-09
219	0	一年了，没有大涨过一次，大跌就十几次了，这就	dzn123456	03-09
186	0	双针探底[想一下]	股市小学究	03-09
175	0	为什么股票不涨，一，原因股票太多，二，股指期	股海之剑周...	03-09
524	1	明天进入反弹周期	股海浪淘v	03-09
255	1	哎呀！[为什么]终于跌了！[为什么]我还以为你装	股市小学究	03-09
140	0	牛市的春天已至 大力做多！	预言女神	03-09
244	0	奇迹出现了！明天必涨！运去黄金失色，时来棒槌	股票量化研究所	03-09
316	1	板块妖股卷土重来，妖股第二波拉升如何把握？	GYQ3314	03-09
584	2	政协委员贺强连续第五次交提案 建议恢复股市T+0	国际老熊	03-09
285	0	关注攻击侧相关概念大幅高开高走之可能性	军备俊林	03-09
188	0	高手在民间	淼淼988	03-09
239	1	调头向下，完蛋的征兆！	甘肃手机网友	03-09
222	0	大盘弱势，站稳别下车	嬴鱼资本	03-09
642	5	明天阳包阴，不解释[不屑]	钳庄小妖精	03-09
157	0	3月12日全民植树节，买福建金森必有福利。	股友7ojBR6	03-09
372	2	今天全割了	TTGR77	03-09
132	0	快跑，双头，肯定还有大跌	怪我没能力遮挡	03-09
91	0	一	沪F54263	03-09
242	0	3-9：中石化独扛大旗 反弹是否会出现 (晚评)	A股领袖	03-09
318	1	李大霄今天很活跃呃	咕咚来了6688	03-09
120	0	三个月了   进一步退两步   草拟马	冰峰暖心	03-09
